country;zip;city;zeros
NO;1605;FREDRIKSTAD;0
NO;1606;FREDRIKSTAD;0
NO;1607;FREDRIKSTAD;0
NO;1608;FREDRIKSTAD;0
NO;1609;FREDRIKSTAD;0
NO;1610;FREDRIKSTAD;0
NO;1612;FREDRIKSTAD;0
NO;1613;FREDRIKSTAD;0
NO;1614;FREDRIKSTAD;0
NO;1615;FREDRIKSTAD;0
NO;1616;FREDRIKSTAD;0
NO;1617;FREDRIKSTAD;0
NO;1618;FREDRIKSTAD;0
NO;1619;FREDRIKSTAD;0
NO;1620;GRESSVIK;0
NO;1621;GRESSVIK;0
NO;1622;GRESSVIK;0
NO;1623;GRESSVIK;0
NO;1624;GRESSVIK;0
NO;1625;MANSTAD;0
NO;1626;MANSTAD;0
NO;1628;ENGELSVIKEN;0
NO;1629;GAMLE FREDRIKSTAD;0
NO;1630;GAMLE FREDRIKSTAD;0
NO;1632;GAMLE FREDRIKSTAD;0
NO;1633;GAMLE FREDRIKSTAD;0
NO;1634;GAMLE FREDRIKSTAD;0
NO;1636;GAMLE FREDRIKSTAD;0
NO;1637;GAMLE FREDRIKSTAD;0
NO;1638;GAMLE FREDRIKSTAD;0
NO;1639;GAMLE FREDRIKSTAD;0
NO;1640;RÅDE;0
NO;1641;RÅDE;0
NO;1642;SALTNES;0
NO;1643;RÅDE;0
NO;1650;SELLEBAKK;0
NO;1651;SELLEBAKK;0
NO;1653;SELLEBAKK;0
NO;1654;SELLEBAKK;0
NO;1655;SELLEBAKK;0
NO;1657;TORP;0
NO;1658;TORP;0
NO;1659;TORP;0
NO;1661;ROLVSØY;0
NO;1662;ROLVSØY;0
NO;1663;ROLVSØY;0
NO;1664;ROLVSØY;0
NO;1665;ROLVSØY;0
NO;1666;ROLVSØY;0
NO;1667;ROLVSØY;0
NO;1670;KRÅKERØY;0
NO;1671;KRÅKERØY;0
NO;1672;KRÅKERØY;0
NO;1673;KRÅKERØY;0
NO;1675;KRÅKERØY;0
NO;1676;KRÅKERØY;0
NO;1678;KRÅKERØY;0
NO;1679;KRÅKERØY;0
NO;1680;SKJÆRHALDEN;0
NO;1682;SKJÆRHALDEN;0
NO;1683;VESTERØY;0
NO;1684;VESTERØY;0
NO;1690;HERFØL;0
NO;1692;NEDGÅRDEN;0
NO;1701;SARPSBORG;0
NO;1702;SARPSBORG;0
NO;1703;SARPSBORG;0
NO;1704;SARPSBORG;0
NO;1705;SARPSBORG;0
NO;1706;SARPSBORG;0
NO;1707;SARPSBORG;0
NO;1708;SARPSBORG;0
NO;1709;SARPSBORG;0
NO;1710;SARPSBORG;0
NO;1711;SARPSBORG;0
NO;1712;GRÅLUM;0
NO;1713;GRÅLUM;0
NO;1714;GRÅLUM;0
NO;1715;YVEN;0
NO;1718;GREÅKER;0
NO;1719;GREÅKER;0
NO;1720;GREÅKER;0
NO;1721;SARPSBORG;0
NO;1722;SARPSBORG;0
NO;1723;SARPSBORG;0
NO;1724;SARPSBORG;0
NO;1725;SARPSBORG;0
NO;1726;SARPSBORG;0
NO;1727;SARPSBORG;0
NO;1730;ISE;0
NO;1733;HAFSLUNDSØY;0
NO;1734;HAFSLUNDSØY;0
NO;1735;VARTEIG;0
NO;1738;BORGENHAUGEN;0
NO;1739;BORGENHAUGEN;0
NO;1740;BORGENHAUGEN;0
NO;1742;KLAVESTADHAUGEN;0
NO;1743;KLAVESTADHAUGEN;0
NO;1745;SKJEBERG;0
NO;1746;SKJEBERG;0
NO;1747;SKJEBERG;0
NO;1751;HALDEN;0
NO;1752;HALDEN;0
NO;1753;HALDEN;0
NO;1754;HALDEN;0
NO;1757;HALDEN;0
NO;1759;HALDEN;0
NO;1760;HALDEN;0
NO;1761;HALDEN;0
NO;1762;HALDEN;0
NO;1763;HALDEN;0
NO;1764;HALDEN;0
NO;1765;HALDEN;0
NO;1766;HALDEN;0
NO;1767;HALDEN;0
NO;1768;HALDEN;0
NO;1769;HALDEN;0
NO;1771;HALDEN;0
NO;1772;HALDEN;0
NO;1776;HALDEN;0
NO;1777;HALDEN;0
NO;1778;HALDEN;0
NO;1779;HALDEN;0
NO;1781;HALDEN;0
NO;1782;HALDEN;0
NO;1783;HALDEN;0
NO;1784;HALDEN;0
